,rowWanted,modWanted,dni,dhi,ghi,temp_air,Gfront_mean,Grear_mean
2022-01-01_0830,3,13,0,76,78,3.7,60.62773166666666,22.847805
2022-01-01_0930,3,13,0,82,85,3.3,64.310715,29.901534999999996
2022-01-01_1030,3,13,5,108,112,3.9,63.97056833333333,29.291071666666667
2022-01-01_1130,3,13,60,232,265,3.3,64.962525,24.688381666666665
2022-01-01_1230,3,13,0,118,121,2.5,68.30338666666667,31.824651666666668
2022-01-01_1330,3,13,265,247,371,1.8,68.11173833333334,31.637936666666665
2022-01-01_1430,3,13,278,150,256,1.1,101.9238,28.374670000000002
2022-01-01_1530,3,13,195,119,172,0.7,103.88515000000001,38.95926833333333
2022-01-01_1630,3,13,510,63,124,0.3,103.90325,37.713651666666664
2022-01-02_0830,3,13,891,32,272,-4.6,262.4544,64.744125
2022-01-02_0930,3,13,963,36,381,-3.9,262.6098333333333,102.87071666666668
2022-01-02_1030,3,13,1021,40,514,-2.9,262.53305,78.059335
2022-01-02_1130,3,13,1045,41,589,-1.9,112.69893333333334,30.291661666666663
2022-01-02_1230,3,13,1046,41,599,-1.1,113.52129999999998,40.755071666666666
2022-01-02_1330,3,13,1026,39,544,0.0,113.68661666666665,40.18485833333334
2022-01-02_1430,3,13,977,35,428,0.8,415.3959,73.84201833333333
2022-01-02_1530,3,13,867,27,265,1.5,433.1849500000001,138.42021666666665
2022-01-02_1630,3,13,702,18,132,1.8,424.5786333333333,94.82080500000001
2022-01-03_0830,3,13,873,33,259,-4.6,357.94068333333337,49.123756666666665
2022-01-03_0930,3,13,957,36,379,-3.3,384.48811666666666,91.39477833333333
2022-01-03_1030,3,13,1018,39,513,-1.4,367.66656666666665,64.31340833333334
2022-01-03_1130,3,13,1038,42,587,0.9,224.7651666666667,28.39118
2022-01-03_1230,3,13,1041,40,598,2.2,229.30831666666666,59.42954
2022-01-03_1330,3,13,1022,38,544,3.8,225.75179999999997,37.210966666666664
2022-01-03_1430,3,13,977,33,431,5.0,65.85006,17.427566666666667
2022-01-03_1530,3,13,877,25,269,5.9,65.85150999999999,27.476908333333334
2022-01-03_1630,3,13,734,15,142,5.8,65.9446,22.097700000000003
2022-01-04_0730,3,13,459,36,85,0.0,672.1226999999999,12.367791666666667
2022-01-04_0830,3,13,718,67,216,2.2,697.2739000000001,102.31131666666667
2022-01-04_0930,3,13,937,37,376,3.6,679.7430333333333,24.403106666666666
2022-01-04_1030,3,13,1005,38,509,5.2,666.4298666666666,50.34912666666666
2022-01-04_1130,3,13,1027,40,583,6.4,691.4474666666667,154.65296666666666
2022-01-04_1230,3,13,1029,39,594,8.0,677.0260499999999,67.290665
2022-01-04_1330,3,13,1011,37,541,10.7,627.0289166666666,87.09253999999999
2022-01-04_1430,3,13,961,32,427,11.9,634.8530333333333,231.95668333333333
2022-01-04_1530,3,13,855,24,266,12.3,632.5241666666666,100.93108000000001
2022-01-04_1630,3,13,708,16,145,12.2,596.9681666666667,114.48466666666667
2022-01-05_0730,3,13,577,19,81,2.0,597.2253333333333,273.6041333333333
2022-01-05_0830,3,13,778,28,197,2.9,597.2703833333333,122.36359999999999
2022-01-05_0930,3,13,925,33,369,5.0,622.2483666666667,102.69599666666667
2022-01-05_1030,3,13,988,36,501,7.2,625.0806,255.51906666666667
2022-01-05_1130,3,13,1018,36,578,8.4,624.5238999999999,113.4864
2022-01-05_1230,3,13,1020,37,590,9.4,681.7637666666667,64.87607833333334
2022-01-05_1330,3,13,999,36,536,10.6,700.9592833333334,188.8453
2022-01-05_1430,3,13,954,34,425,11.8,690.9540166666666,81.46686
2022-01-05_1530,3,13,834,32,269,12.5,724.19345,42.585795
2022-01-05_1630,3,13,590,20,119,13.1,755.3249666666668,124.07418333333334
2022-01-06_0730,3,13,286,40,73,2.8,733.9291499999999,57.707955
2022-01-06_0830,3,13,499,72,181,4.1,429.6701166666667,7.586629500000001
2022-01-06_0930,3,13,656,101,341,6.2,433.19055,83.92838166666667
2022-01-06_1030,3,13,774,103,470,8.3,430.8209166666667,11.394624
2022-01-06_1130,3,13,809,114,548,10.4,0.0,0.0
2022-01-06_1230,3,13,822,117,568,11.4,0.0,0.0
2022-01-06_1330,3,13,830,95,516,12.5,0.0,0.0
2022-01-06_1430,3,13,795,75,407,13.4,659.8465166666667,12.442630000000001
2022-01-06_1530,3,13,760,43,260,13.6,685.3156666666666,101.37270166666667
2022-01-06_1630,3,13,609,24,134,13.7,668.1122833333334,24.661873333333332
2022-01-07_0730,3,13,572,19,79,3.9,664.7978333333333,50.704695
2022-01-07_0830,3,13,780,28,197,6.9,689.0541333333333,153.78968333333333
2022-01-07_0930,3,13,923,32,368,9.3,674.8445666666667,66.90545
2022-01-07_1030,3,13,985,33,499,10.1,626.7539999999999,87.62343333333334
2022-01-07_1130,3,13,1011,35,575,10.6,634.9778666666666,230.33978333333334
2022-01-07_1230,3,13,1012,36,587,12.2,631.2238666666667,101.03940666666668
2022-01-07_1330,3,13,990,35,535,13.5,595.5008499999999,114.25943333333333
2022-01-07_1430,3,13,949,31,427,14.8,596.1901,272.3252333333333
2022-01-07_1530,3,13,852,23,271,15.3,595.7310666666667,122.49326666666667
2022-01-07_1630,3,13,714,14,146,15.6,619.4712166666667,101.156475
2022-01-08_0730,3,13,320,31,63,4.2,622.7261833333333,255.91576666666668
2022-01-08_0830,3,13,700,52,208,7.0,621.8220166666666,113.27121666666667
2022-01-08_0930,3,13,345,206,319,10.3,678.22705,64.77825
2022-01-08_1030,3,13,189,289,381,11.8,697.5338333333333,188.73863333333333
2022-01-08_1130,3,13,16,302,317,12.0,687.6062499999999,80.92700333333335
2022-01-08_1230,3,13,0,158,162,12.3,722.9816166666667,42.121265
2022-01-08_1330,3,13,0,139,141,12.6,753.375,123.43916666666667
2022-01-08_1430,3,13,15,186,194,13.1,732.7815833333334,58.33253333333333
2022-01-08_1530,3,13,296,118,188,13.5,436.95813333333336,7.125011166666667
2022-01-08_1630,3,13,685,22,142,13.8,440.52728333333334,85.07501666666667
2022-01-09_0730,3,13,526,22,79,3.6,438.2301166666666,10.801683333333333
2022-01-09_0830,3,13,719,34,194,3.9,0.0,0.0
2022-01-09_0930,3,13,913,42,374,4.8,0.0,0.0
2022-01-09_1030,3,13,978,45,506,6.2,0.0,0.0
2022-01-09_1130,3,13,1007,45,584,7.7,207.87903333333333,9.028491166666667
2022-01-09_1230,3,13,1018,43,599,8.6,209.3354,44.97048166666667
2022-01-09_1330,3,13,1005,41,550,9.3,208.39821666666666,11.888683333333333
2022-01-09_1430,3,13,958,37,440,9.5,592.8808,19.890045
2022-01-09_1530,3,13,847,31,279,9.8,620.5233000000001,99.38849166666665
2022-01-09_1630,3,13,686,21,142,9.7,600.7273833333334,32.790710000000004
2022-01-10_0730,3,13,593,18,82,-2.0,654.5784666666667,50.117914999999996
2022-01-10_0830,3,13,796,29,204,-0.8,678.7526666666666,151.24051666666665
2022-01-10_0930,3,13,949,36,382,1.0,664.4501166666666,65.69415666666667
2022-01-10_1030,3,13,1007,40,517,3.0,620.85795,85.91000166666667
2022-01-10_1130,3,13,1028,42,594,4.8,627.7271833333334,226.89311666666669
2022-01-10_1230,3,13,1028,43,608,7.0,624.3004166666667,98.55886333333333
2022-01-10_1330,3,13,1007,41,556,8.5,589.7986666666667,113.31845
2022-01-10_1430,3,13,953,39,444,9.4,589.8813,269.30378333333334
2022-01-10_1530,3,13,859,31,286,10.0,589.7438666666666,120.7826
2022-01-10_1630,3,13,701,20,148,10.2,613.0628666666667,101.63279000000001
2022-01-11_0730,3,13,587,19,83,-1.7,616.3177499999999,253.112
2022-01-11_0830,3,13,799,30,206,-0.4,615.0396499999999,112.15468333333334
2022-01-11_0930,3,13,951,38,386,2.6,670.6098666666667,63.4249
2022-01-11_1030,3,13,1021,38,525,4.4,689.7904666666666,187.28206666666665
2022-01-11_1130,3,13,1039,43,603,6.0,679.7535333333333,80.37366
2022-01-11_1230,3,13,1035,52,625,8.1,711.24325,42.11241833333333
2022-01-11_1330,3,13,1012,47,569,9.8,741.6213166666666,122.17495
2022-01-11_1430,3,13,823,94,452,10.8,720.8451333333333,56.413713333333334
2022-01-11_1530,3,13,475,78,229,11.2,431.3136333333333,6.9093971666666665
2022-01-11_1630,3,13,437,47,132,11.4,435.1718166666667,83.54023833333333
2022-01-12_0730,3,13,584,20,82,0.4,432.60626666666667,10.6479575
2022-01-12_0830,3,13,792,31,206,3.0,0.0,0.0
2022-01-12_0930,3,13,925,38,380,4.1,0.0,0.0
2022-01-12_1030,3,13,1003,40,519,5.7,0.0,0.0
2022-01-12_1130,3,13,1012,48,596,7.7,229.6097,5.243806666666668
2022-01-12_1230,3,13,1003,57,614,10.0,230.86443333333335,46.783118333333334
2022-01-12_1330,3,13,1007,46,566,12.1,230.08995,7.008303333333334
2022-01-12_1430,3,13,956,37,449,13.4,588.4356666666666,10.810792500000002
2022-01-12_1530,3,13,874,27,292,14.0,609.7039,90.34653
2022-01-12_1630,3,13,725,17,154,13.8,595.3588666666667,21.359861666666667
2022-01-13_0730,3,13,584,19,82,1.4,643.6485833333334,48.11721166666666
2022-01-13_0830,3,13,797,28,205,3.1,668.1377333333334,147.63416666666666
2022-01-13_0930,3,13,926,38,381,4.8,653.5489666666666,64.55573333333334
2022-01-13_1030,3,13,937,53,504,7.0,609.8501333333334,83.41241333333333
2022-01-13_1130,3,13,954,71,592,9.2,618.184,222.79961666666668
2022-01-13_1230,3,13,1012,49,614,11.8,614.8451666666667,97.16238166666668
2022-01-13_1330,3,13,1014,38,566,13.1,583.0618333333333,111.41473333333333
2022-01-13_1430,3,13,967,36,456,14.0,582.9071,266.0814333333333
2022-01-13_1530,3,13,870,28,296,14.5,583.0379666666666,118.49188333333333
2022-01-13_1630,3,13,610,23,152,14.7,607.3721833333334,101.24512166666668
2022-01-14_0730,3,13,571,16,86,4.7,610.1518333333333,251.43378333333337
2022-01-14_0830,3,13,771,27,206,7.1,610.21615,110.80536666666666
2022-01-14_0930,3,13,923,35,384,10.1,662.6577666666667,63.800896666666674
2022-01-14_1030,3,13,990,36,519,12.5,681.8963833333335,186.15683333333334
2022-01-14_1130,3,13,1016,40,600,13.9,671.5908833333333,79.40798166666667
2022-01-14_1230,3,13,1024,39,618,14.4,709.2642166666667,42.461243333333336
2022-01-14_1330,3,13,1022,35,573,14.9,740.0404166666667,123.17206666666667
2022-01-14_1430,3,13,980,31,464,15.0,719.34835,57.87077333333333
2022-01-14_1530,3,13,884,25,305,15.0,435.956,8.970356833333334
2022-01-14_1630,3,13,753,19,178,14.6,440.9702166666666,85.47459
2022-01-15_0730,3,13,576,17,87,-0.1,437.44218333333333,13.273813333333333
2022-01-15_0830,3,13,787,27,210,0.5,0.0,0.0
2022-01-15_0930,3,13,939,34,390,2.0,0.0,0.0
2022-01-15_1030,3,13,1005,38,529,3.5,0.0,0.0
2022-01-15_1130,3,13,1029,41,610,4.4,150.19135,9.831763500000001
2022-01-15_1230,3,13,1032,43,626,5.5,151.47065,34.44441
2022-01-15_1330,3,13,1018,40,578,7.0,149.80568333333335,12.879508333333334
2022-01-15_1430,3,13,975,36,469,7.5,442.9182,20.524818333333336
2022-01-15_1530,3,13,885,28,310,8.2,466.70921666666663,80.16946666666666
2022-01-15_1630,3,13,744,20,176,8.6,449.5274333333333,32.06815833333333
2022-01-16_0730,3,13,460,27,87,-0.5,544.0105666666666,54.070195
2022-01-16_0830,3,13,606,53,196,1.2,569.4009833333333,136.7129
2022-01-16_0930,3,13,763,72,366,3.3,553.4597833333332,71.24118333333332
2022-01-16_1030,3,13,933,65,525,5.4,557.1711166666666,84.187195
2022-01-16_1130,3,13,1027,53,623,7.4,566.16875,204.3401
2022-01-16_1230,3,13,1036,53,643,8.9,562.8663166666666,99.41009
2022-01-16_1330,3,13,1005,51,587,10.4,549.6953833333333,111.08865
2022-01-16_1430,3,13,1000,36,484,11.9,549.6642166666667,245.28178333333335
2022-01-16_1530,3,13,847,33,312,12.7,549.3276,120.35503333333334
2022-01-16_1630,3,13,579,36,185,12.7,579.4554666666668,103.956345
2022-01-17_0730,3,13,558,24,93,-1.4,582.3212166666667,237.68188333333336
2022-01-17_0830,3,13,730,34,211,0.8,581.8152333333333,115.35096666666666
2022-01-17_0930,3,13,933,48,405,3.4,621.6786833333333,70.08522166666667
2022-01-17_1030,3,13,958,65,540,6.0,642.1573666666666,182.00346666666667
2022-01-17_1130,3,13,797,144,595,7.7,631.6516666666666,88.22737999999998
2022-01-17_1230,3,13,235,282,431,8.9,645.1417166666668,49.03431333333333
2022-01-17_1330,3,13,249,318,462,9.7,679.1316,122.82249999999999
2022-01-17_1430,3,13,279,287,402,11.0,656.0906,66.18583666666666
2022-01-17_1530,3,13,855,95,364,12.1,419.93691666666666,11.194980000000001
2022-01-17_1630,3,13,445,34,136,11.9,424.6194833333333,83.72941833333334
2022-01-18_0730,3,13,550,20,84,1.5,421.31156666666664,16.136466666666667
2022-01-18_0830,3,13,769,33,208,4.5,47.79672,11.213843333333333
2022-01-18_0930,3,13,915,40,386,7.1,47.790375000000004,18.48257
2022-01-18_1030,3,13,981,43,524,8.4,47.772095,12.96826
2022-01-18_1130,3,13,1007,44,604,10.0,228.52098333333333,5.1925799999999995
2022-01-18_1230,3,13,1008,44,622,10.9,229.55149999999998,46.488283333333335
2022-01-18_1330,3,13,998,43,577,11.9,228.70413333333335,6.9799956666666665
2022-01-18_1430,3,13,707,109,441,12.7,591.8346333333334,10.809345833333335
2022-01-18_1530,3,13,220,108,189,13.4,613.4172666666666,90.77754833333333
2022-01-18_1630,3,13,172,82,118,13.3,598.8462166666667,21.48292
2022-01-19_0730,3,13,567,16,87,4.8,646.0667666666667,47.60020166666666
2022-01-19_0830,3,13,770,27,210,5.7,669.0190833333334,146.80096666666668
2022-01-19_0930,3,13,912,36,387,7.0,655.1515333333334,64.96515166666667
2022-01-19_1030,3,13,974,41,525,8.3,609.4223166666666,82.81478333333334
2022-01-19_1130,3,13,993,55,613,9.1,617.66795,222.47701666666666
2022-01-19_1230,3,13,511,157,458,9.4,614.6005166666666,96.58697333333333
2022-01-19_1330,3,13,0,222,231,9.6,581.6457666666665,112.1627
2022-01-19_1430,3,13,40,243,263,10.0,581.83875,265.39278333333334
2022-01-19_1530,3,13,23,141,152,10.4,581.9847833333333,119.34923333333334
2022-01-19_1630,3,13,0,77,81,10.5,604.2686333333334,102.30503666666667
2022-01-20_0730,3,13,434,37,91,-1.2,607.3840666666667,250.7372666666667
2022-01-20_0830,3,13,562,62,188,-0.1,606.2622833333332,112.04115000000002
2022-01-20_0930,3,13,658,102,355,0.4,658.9683666666667,63.05352333333333
2022-01-20_1030,3,13,887,84,522,2.0,676.5638,186.53481666666664
2022-01-20_1130,3,13,967,68,609,3.4,667.1740833333333,79.86730333333333
2022-01-20_1230,3,13,993,61,633,4.8,704.2226833333334,42.539316666666664
2022-01-20_1330,3,13,971,58,584,6.1,733.8608833333333,122.11701666666666
2022-01-20_1430,3,13,928,53,475,6.8,714.0088000000001,57.88286666666667
2022-01-20_1530,3,13,841,41,318,7.2,445.98974999999996,6.737638
2022-01-20_1630,3,13,679,27,162,7.6,450.6598333333334,85.20669333333333
2022-01-21_0730,3,13,304,28,77,-0.5,447.62986666666666,10.612398166666667
2022-01-21_0830,3,13,460,43,175,-0.2,0.0,0.0
2022-01-21_0930,3,13,900,46,394,1.8,0.0,0.0
2022-01-21_1030,3,13,975,51,539,3.1,0.0,0.0
2022-01-21_1130,3,13,1004,63,632,5.0,152.7535,7.812487666666667
2022-01-21_1230,3,13,979,66,638,6.7,153.86676666666668,33.70707833333333
2022-01-21_1330,3,13,1013,42,597,8.6,153.2844,10.194808333333333
2022-01-21_1430,3,13,977,38,488,9.4,564.60865,16.64951
2022-01-21_1530,3,13,895,30,329,10.5,589.5205833333334,93.00239333333332
2022-01-21_1630,3,13,746,20,173,10.7,572.0640666666667,28.415475
2022-01-22_0730,3,13,423,33,87,2.7,443.83863333333335,67.25124833333334
2022-01-22_0830,3,13,733,41,215,3.4,468.7923333333334,130.98881666666665
2022-01-22_0930,3,13,903,51,397,4.5,455.22681666666665,87.28525499999999
2022-01-22_1030,3,13,964,57,535,5.8,400.47926666666666,83.164885
2022-01-22_1130,3,13,992,59,619,7.2,407.6696333333333,148.04753333333332
2022-01-22_1230,3,13,993,61,639,8.8,404.6818666666667,104.17329999999998
2022-01-22_1330,3,13,875,82,563,10.3,309.69873333333334,77.51459833333334
2022-01-22_1430,3,13,637,107,392,10.6,309.729,112.03046666666665
2022-01-22_1530,3,13,722,60,304,11.2,309.19545,98.14434833333334
2022-01-22_1630,3,13,272,46,103,10.2,152.12096666666667,40.439368333333334
2022-01-23_0730,3,13,513,25,85,-1.0,153.3315,54.88354833333334
2022-01-23_0830,3,13,740,38,213,-0.2,153.14405,53.00314
2022-01-23_0930,3,13,844,54,383,1.9,119.34848333333335,37.41169166666667
2022-01-23_1030,3,13,965,52,535,4.8,123.91563333333335,50.88449166666666
2022-01-23_1130,3,13,994,53,619,8.0,123.4101,49.569091666666665
2022-01-23_1230,3,13,1005,51,641,10.4,173.44601666666665,53.32075333333333
2022-01-23_1330,3,13,989,47,595,11.0,186.44806666666665,73.93817333333334
2022-01-23_1430,3,13,940,43,487,11.5,182.10218333333333,68.51254
2022-01-23_1530,3,13,836,36,326,11.8,286.20575,28.019615
2022-01-23_1630,3,13,689,24,181,11.9,291.7004,69.80712333333334
2022-01-24_0730,3,13,591,17,92,2.1,288.8175,37.201105
2022-01-24_0830,3,13,808,26,225,3.5,0.0,0.0
2022-01-24_0930,3,13,948,34,409,4.7,0.0,0.0
2022-01-24_1030,3,13,1009,38,549,6.0,0.0,0.0
2022-01-24_1130,3,13,1036,40,634,7.4,216.41041666666666,5.902574666666666
2022-01-24_1230,3,13,1040,40,655,9.1,217.83625,44.596925000000006
2022-01-24_1330,3,13,1022,40,607,10.5,216.78105,7.9429161666666666
2022-01-24_1430,3,13,982,37,499,11.6,557.2164666666666,12.3677
2022-01-24_1530,3,13,894,31,338,12.2,579.1892166666667,88.05339000000001
2022-01-24_1630,3,13,744,20,179,12.6,564.12285,23.35799166666667
2022-01-25_0730,3,13,606,22,92,0.7,654.6186,50.319455
2022-01-25_0830,3,13,805,46,237,3.8,679.0096666666666,150.40516666666667
2022-01-25_0930,3,13,752,87,382,5.6,663.6515333333334,67.76208
2022-01-25_1030,3,13,830,118,540,7.8,622.28465,85.59881666666666
2022-01-25_1130,3,13,521,202,506,8.6,630.7395833333333,225.98161666666664
2022-01-25_1230,3,13,589,168,526,10.2,626.6643666666666,100.97036333333332
2022-01-25_1330,3,13,247,163,307,11.0,594.2678833333333,114.51348333333334
2022-01-25_1430,3,13,936,73,519,12.7,594.1691666666668,269.61383333333333
2022-01-25_1530,3,13,914,29,348,13.9,594.3409,122.2775
2022-01-25_1630,3,13,750,20,181,14.6,617.8455333333334,104.50039166666667
2022-01-26_0730,3,13,24,62,67,-0.7,621.4885166666667,256.67655
2022-01-26_0830,3,13,38,118,126,0.0,620.2556333333333,114.1468
2022-01-26_0930,3,13,2,145,148,0.4,676.0295,66.78138166666668
2022-01-26_1030,3,13,11,248,254,0.8,694.9743166666667,194.13653333333332
2022-01-26_1130,3,13,845,173,665,2.2,685.2569166666667,84.55258
2022-01-26_1230,3,13,568,225,569,3.6,719.8866666666665,45.074641666666665
2022-01-26_1330,3,13,6,284,293,4.2,751.4966833333333,126.80936666666666
2022-01-26_1430,3,13,261,250,381,4.9,730.4742999999999,62.12108833333334
2022-01-26_1530,3,13,756,94,348,5.3,465.2706833333333,8.721879666666666
2022-01-26_1630,3,13,734,22,173,5.4,470.48635,89.81123500000001
2022-01-27_0730,3,13,197,43,71,-3.2,466.8683833333333,13.490276666666666
2022-01-27_0830,3,13,652,38,207,-1.3,0.0,0.0
2022-01-27_0930,3,13,953,40,419,0.9,0.0,0.0
2022-01-27_1030,3,13,1007,44,562,2.6,0.0,0.0
2022-01-27_1130,3,13,1029,46,646,4.5,236.93001666666666,5.0695305
2022-01-27_1230,3,13,1038,44,668,6.0,238.41168333333331,47.87343666666666
2022-01-27_1330,3,13,1024,43,623,7.0,237.58503333333334,6.7592165
2022-01-27_1430,3,13,987,40,515,7.7,609.0115166666667,11.094732833333332
2022-01-27_1530,3,13,885,37,349,8.1,631.2303,93.49174333333333
2022-01-27_1630,3,13,738,29,189,8.5,616.1496,22.26304833333333
2022-01-28_0730,3,13,597,22,94,-3.3,673.0556666666666,50.76432833333334
2022-01-28_0830,3,13,824,33,238,-1.8,698.4894,153.31266666666664
2022-01-28_0930,3,13,964,40,427,-0.8,682.4324833333333,67.39340666666666
2022-01-28_1030,3,13,1022,45,573,1.0,635.9986,86.93610166666667
2022-01-28_1130,3,13,1041,46,658,3.3,645.8159666666666,230.71319999999997
2022-01-28_1230,3,13,1052,45,680,4.8,642.1176333333333,100.98313833333333
2022-01-28_1330,3,13,1037,43,633,6.0,604.9647333333332,116.00489999999999
2022-01-28_1430,3,13,1003,39,524,7.2,604.8367,273.9584
2022-01-28_1530,3,13,932,32,364,8.1,605.3296666666668,123.47445
2022-01-28_1630,3,13,777,20,186,8.2,625.1814333333333,106.483455
2022-01-29_0730,3,13,638,20,99,-2.5,628.56355,260.0927
2022-01-29_0830,3,13,853,31,245,-1.3,627.5551833333333,116.82543333333334
2022-01-29_0930,3,13,982,38,434,0.4,679.2293666666666,67.27158833333334
2022-01-29_1030,3,13,1035,44,584,2.8,697.1796333333333,195.4344166666667
2022-01-29_1130,3,13,998,59,650,5.3,688.9799666666668,85.72850166666666
2022-01-29_1230,3,13,998,70,678,6.4,719.4707166666667,45.37752166666667
2022-01-29_1330,3,13,1054,51,656,7.8,751.1707333333334,127.99098333333333
2022-01-29_1430,3,13,847,60,487,9.3,729.6207999999999,62.18261333333333
2022-01-29_1530,3,13,325,129,240,9.5,477.69763333333333,8.725205833333334
2022-01-29_1630,3,13,331,77,132,9.7,482.95668333333333,91.65290999999999
2022-01-30_0730,3,13,0,66,68,0.6,479.57658333333336,13.79
2022-01-30_0830,3,13,8,109,115,0.6,0.0,0.0
2022-01-30_0930,3,13,37,184,197,1.4,0.0,0.0
2022-01-30_1030,3,13,53,221,249,2.9,0.0,0.0
2022-01-30_1130,3,13,27,309,325,5.3,236.94518333333338,5.106077833333334
2022-01-30_1230,3,13,1,218,220,6.5,237.89535,47.999035
2022-01-30_1330,3,13,1,216,217,7.4,237.32600000000002,7.124964833333334
2022-01-30_1430,3,13,0,171,173,7.6,614.6877499999999,11.348735333333334
2022-01-30_1530,3,13,0,109,112,7.9,637.4937166666666,93.954675
2022-01-30_1630,3,13,10,70,75,7.7,621.9531000000001,22.848218333333335
2022-01-31_0730,3,13,646,20,101,0.1,679.5652333333334,51.86861333333334
2022-01-31_0830,3,13,864,30,253,1.0,704.5925166666666,154.20531666666665
2022-01-31_0930,3,13,991,36,444,3.8,689.6536000000001,69.37578333333333
2022-01-31_1030,3,13,1040,43,594,6.5,645.4115666666667,87.51616166666668
2022-01-31_1130,3,13,1063,45,683,7.8,654.08845,233.48440000000002
2022-01-31_1230,3,13,1061,47,703,8.9,651.2593666666667,102.62340166666667
2022-01-31_1330,3,13,1033,55,658,10.6,614.5826833333333,118.85758333333334
